               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.11388,            0.095182,             0.05232,           0.0070029,              0.1076,           0.0063545,           0.0018939,             0.10845,            0.088012,            0.053598,            0.010931,            0.010931,            0.010931
                  38,             0.11491,             0.10961,            0.051867,             0.17231,            0.041715,           0.0045552,          0.00096207,             0.10866,            0.088303,            0.053788,            0.010908,            0.010908,            0.010908
                  39,             0.11576,             0.10593,            0.051299,           0.0051691,             0.11348,           0.0053752,            0.001052,             0.10921,            0.087162,            0.053994,            0.010885,            0.010885,            0.010885
                  40,             0.11449,             0.10559,            0.051107,             0.34358,            0.010638,           0.0048113,          0.00064451,             0.10895,            0.086917,            0.054057,            0.010862,            0.010862,            0.010862
                  41,             0.11771,             0.11623,            0.051403,             0.34012,            0.046099,           0.0060558,           0.0010783,             0.10927,            0.085286,            0.054048,            0.010838,            0.010838,            0.010838
                  42,             0.11346,            0.095431,            0.051615,             0.34295,            0.032609,           0.0074456,           0.0014926,             0.10892,             0.08527,            0.053986,            0.010815,            0.010815,            0.010815
                  43,             0.11446,             0.10236,            0.050872,           0.0054746,             0.11232,           0.0046642,          0.00088771,             0.10866,            0.085272,            0.053954,            0.010792,            0.010792,            0.010792
                  44,             0.11211,             0.10136,            0.050393,           0.0065435,             0.13406,           0.0074214,           0.0018006,             0.10811,            0.085775,            0.053952,            0.010768,            0.010768,            0.010768
                  45,             0.11583,             0.10214,            0.049944,           0.0071496,             0.18478,           0.0073742,           0.0018971,             0.10757,            0.085471,            0.053701,            0.010745,            0.010745,            0.010745
                  46,             0.11235,             0.10237,            0.049959,             0.17584,             0.16153,            0.010217,           0.0027236,             0.10782,            0.084931,            0.053713,            0.010722,            0.010722,            0.010722
                  47,             0.11676,             0.10951,            0.050145,            0.010401,             0.18845,            0.011386,           0.0025004,             0.10856,            0.083256,            0.053335,            0.010699,            0.010699,            0.010699
                  48,             0.11605,             0.10569,            0.049455,              0.1784,             0.11384,            0.011193,           0.0025484,             0.10781,             0.08346,            0.052981,            0.010675,            0.010675,            0.010675
                  49,             0.11459,             0.10779,            0.049381,             0.19881,            0.047101,            0.010422,           0.0019296,             0.10764,            0.083957,            0.053157,            0.010652,            0.010652,            0.010652
                  50,              0.1152,             0.10738,            0.048775,             0.18136,             0.12476,            0.011941,           0.0026471,             0.10871,            0.082577,            0.052729,            0.010629,            0.010629,            0.010629
                  51,              0.1138,              0.1005,             0.04905,             0.34852,            0.075843,            0.011228,           0.0019852,             0.10842,            0.083048,            0.052358,            0.010605,            0.010605,            0.010605
                  52,             0.11157,            0.093976,            0.048817,             0.34894,            0.065494,            0.014933,           0.0035034,             0.10764,            0.083265,            0.051414,            0.010582,            0.010582,            0.010582
                  53,             0.11147,             0.09564,            0.048917,             0.35062,            0.069676,            0.009184,           0.0019983,             0.10716,            0.083139,            0.050395,            0.010559,            0.010559,            0.010559
                  54,             0.11509,              0.1061,            0.048042,             0.17698,              0.1211,           0.0078609,           0.0021009,             0.10849,            0.081985,            0.050555,            0.010536,            0.010536,            0.010536
                  55,             0.11571,             0.10831,            0.048417,             0.17815,             0.15581,            0.011161,           0.0028662,             0.10856,            0.081562,            0.050367,            0.010512,            0.010512,            0.010512
                  56,             0.11538,             0.11034,            0.047993,              0.1767,            0.079244,           0.0092747,           0.0021071,             0.10891,            0.082418,            0.050836,            0.010489,            0.010489,            0.010489
                  57,             0.11215,             0.09235,            0.048075,             0.17717,             0.13084,             0.01321,           0.0030326,             0.10745,            0.082264,            0.049598,            0.010466,            0.010466,            0.010466
                  58,             0.11384,            0.096397,            0.048829,             0.33848,            0.056727,            0.002701,          0.00051243,             0.10878,            0.082254,            0.051442,            0.010442,            0.010442,            0.010442
                  59,             0.11402,             0.10269,            0.048237,              0.1824,            0.057344,           0.0076025,           0.0017115,             0.10824,            0.083163,            0.050866,            0.010419,            0.010419,            0.010419
                  60,             0.11423,             0.11526,            0.047385,             0.17907,            0.048198,           0.0065359,           0.0014135,             0.10923,            0.082355,            0.051208,            0.010396,            0.010396,            0.010396
                  61,             0.11606,             0.10673,            0.048172,             0.34309,            0.082212,           0.0048179,           0.0009483,              0.1089,            0.082868,            0.049921,            0.010372,            0.010372,            0.010372
                  62,             0.11253,             0.11031,            0.046976,               0.176,            0.065784,              0.0058,            0.001207,             0.10817,            0.083814,            0.051061,            0.010349,            0.010349,            0.010349
                  63,             0.11325,            0.097994,            0.046686,             0.34224,            0.090169,           0.0057506,           0.0011067,             0.10776,            0.083624,            0.049961,            0.010326,            0.010326,            0.010326
                  64,             0.11342,             0.10357,              0.0484,             0.34045,             0.10815,           0.0047107,          0.00087387,             0.10702,            0.084515,            0.049774,            0.010303,            0.010303,            0.010303
                  65,             0.11387,             0.10989,            0.046963,             0.34279,            0.076335,           0.0079626,           0.0016798,             0.10688,            0.083468,            0.048549,            0.010279,            0.010279,            0.010279
                  66,             0.11465,             0.11386,            0.046464,             0.34264,              0.0897,           0.0073339,           0.0013541,             0.10807,            0.082821,            0.048879,            0.010256,            0.010256,            0.010256
                  67,             0.11237,             0.10301,            0.046477,             0.34284,            0.072562,           0.0067179,            0.001354,             0.10647,            0.083268,            0.047522,            0.010233,            0.010233,            0.010233
                  68,             0.11592,             0.10628,            0.047121,             0.34398,             0.12396,           0.0082561,           0.0016943,             0.10672,            0.083024,            0.048594,            0.010209,            0.010209,            0.010209
                  69,             0.11262,             0.10327,            0.046844,             0.34676,            0.085829,            0.011982,            0.002644,             0.10666,            0.083369,            0.047764,            0.010186,            0.010186,            0.010186
                  70,             0.11143,             0.10039,            0.046256,             0.17655,             0.18473,           0.0087088,           0.0018009,             0.10667,            0.082459,            0.047843,            0.010163,            0.010163,            0.010163
                  71,             0.11417,              0.1072,            0.046201,             0.35066,            0.031817,           0.0095163,           0.0022362,             0.10689,            0.081689,             0.04668,             0.01014,             0.01014,             0.01014
                  72,             0.11416,             0.10909,             0.04638,             0.34116,            0.082808,           0.0051889,           0.0010704,             0.10754,            0.083355,            0.049125,            0.010116,            0.010116,            0.010116
                  73,              0.1111,            0.096232,            0.046836,            0.010397,             0.30042,           0.0089303,           0.0019129,             0.10674,            0.082476,            0.047966,            0.010093,            0.010093,            0.010093
                  74,             0.10815,             0.10602,            0.046316,             0.34559,            0.095263,            0.008114,           0.0017199,             0.10637,            0.083768,            0.047933,             0.01007,             0.01007,             0.01007
                  75,             0.11128,             0.09999,            0.045258,             0.18024,             0.11136,            0.010634,            0.002387,             0.10717,            0.082168,             0.04821,            0.010046,            0.010046,            0.010046
                  76,             0.11456,             0.10577,            0.046344,             0.17752,            0.065494,           0.0075515,            0.001668,             0.10932,            0.081028,            0.050367,            0.010023,            0.010023,            0.010023
                  77,             0.11206,            0.095425,             0.04655,             0.36761,            0.056727,            0.012513,           0.0029657,             0.10722,            0.081692,            0.047422,           0.0099998,           0.0099998,           0.0099998
                  78,             0.11469,             0.10622,            0.045663,              0.6842,            0.012579,           0.0073887,           0.0023193,              0.1078,            0.082191,            0.048315,           0.0099765,           0.0099765,           0.0099765
                  79,             0.11549,             0.12451,            0.046479,              0.3559,            0.022013,            0.014035,           0.0040753,             0.10787,            0.081394,            0.049595,           0.0099532,           0.0099532,           0.0099532
                  80,             0.11135,             0.10748,            0.046183,              0.3453,            0.047351,            0.010045,           0.0020351,              0.1069,            0.082014,            0.048858,           0.0099299,           0.0099299,           0.0099299
                  81,             0.11249,             0.10805,            0.045081,             0.34921,            0.050929,            0.010954,            0.002673,             0.10573,            0.083037,            0.047475,           0.0099066,           0.0099066,           0.0099066
                  82,             0.11104,             0.10124,            0.045514,             0.35665,            0.083118,            0.016242,           0.0041242,             0.10683,            0.083166,            0.046756,           0.0098833,           0.0098833,           0.0098833
                  83,             0.11299,             0.10506,             0.04422,              0.1893,            0.051787,            0.014313,            0.003724,             0.10729,            0.082177,            0.048348,             0.00986,             0.00986,             0.00986
                  84,             0.11412,             0.11587,            0.044789,              0.3491,            0.044888,            0.010967,           0.0024433,             0.10646,            0.083289,             0.04856,           0.0098368,           0.0098368,           0.0098368
                  85,             0.11217,             0.11192,            0.045016,             0.17815,             0.15141,            0.010737,           0.0023581,             0.10567,            0.084011,            0.047113,           0.0098135,           0.0098135,           0.0098135
                  86,             0.10841,            0.095504,            0.044739,             0.18062,             0.14965,            0.013293,           0.0026694,             0.10628,            0.084505,            0.048121,           0.0097902,           0.0097902,           0.0097902
                  87,             0.10578,            0.094919,            0.044276,             0.17846,             0.10174,            0.010113,           0.0022753,             0.10976,            0.081503,            0.048844,           0.0097669,           0.0097669,           0.0097669
                  88,             0.11018,              0.1055,            0.045168,             0.35813,             0.10279,            0.022954,           0.0045272,             0.10546,            0.085243,            0.047352,           0.0097436,           0.0097436,           0.0097436
                  89,             0.10992,             0.10875,            0.045382,            0.021219,             0.34083,            0.020795,           0.0035001,             0.10436,            0.085018,            0.045455,           0.0097203,           0.0097203,           0.0097203
                  90,             0.10849,             0.10464,             0.04555,             0.43196,            0.099385,            0.056602,            0.018067,             0.10347,            0.085601,            0.048861,            0.009697,            0.009697,            0.009697
                  91,             0.11056,            0.093979,            0.045762,             0.47281,             0.18065,             0.12978,            0.034124,             0.10016,            0.081662,            0.048033,           0.0096737,           0.0096737,           0.0096737
                  92,             0.10734,            0.099556,             0.04669,             0.34942,            0.018989,           0.0060826,           0.0015602,              0.1091,            0.088055,            0.049236,           0.0096504,           0.0096504,           0.0096504
                  93,             0.11283,            0.094438,            0.046798,             0.20614,            0.028916,            0.021083,           0.0033547,             0.10845,            0.080911,            0.051715,           0.0096271,           0.0096271,           0.0096271
                  94,             0.11095,            0.096643,            0.045474,             0.28001,             0.23206,             0.12048,            0.035272,            0.098052,            0.085875,            0.049417,           0.0096038,           0.0096038,           0.0096038
                  95,             0.10448,             0.08766,            0.045752,             0.50265,             0.18644,             0.13941,            0.029874,            0.096231,            0.081357,            0.046519,           0.0095805,           0.0095805,           0.0095805
                  96,             0.10815,             0.10336,            0.045076,             0.20891,              0.1243,            0.021476,           0.0040016,             0.10709,            0.086732,            0.063697,           0.0095572,           0.0095572,           0.0095572
                  97,             0.10772,            0.096505,            0.046217,             0.67353,             0.30395,             0.21721,            0.058569,            0.093136,            0.075276,            0.047725,            0.009534,            0.009534,            0.009534
                  98,             0.10409,            0.096516,            0.044793,             0.61699,             0.26162,             0.14391,            0.032644,             0.10472,            0.081933,            0.053022,           0.0095107,           0.0095107,           0.0095107
                  99,             0.11588,             0.10791,            0.046247,             0.51171,             0.21336,             0.26686,            0.080516,             0.10407,            0.077175,            0.051805,           0.0094874,           0.0094874,           0.0094874
                 100,             0.10717,            0.095846,            0.043847,             0.42464,             0.26492,             0.18584,            0.047238,             0.10347,            0.091648,            0.053007,           0.0094641,           0.0094641,           0.0094641
                 101,             0.10357,            0.091609,            0.044607,             0.56922,             0.37362,             0.14769,             0.03213,             0.10489,             0.08122,            0.054282,           0.0094408,           0.0094408,           0.0094408
                 102,             0.10461,            0.093103,            0.045245,             0.45838,             0.40524,             0.16998,            0.042308,            0.095457,            0.085975,            0.046194,           0.0094175,           0.0094175,           0.0094175
                 103,              0.1068,            0.087052,            0.044029,              0.2483,             0.24019,            0.094138,            0.020658,             0.10226,            0.086814,             0.05094,           0.0093942,           0.0093942,           0.0093942
                 104,            0.098592,            0.086492,            0.043635,            0.035943,             0.34203,            0.033336,           0.0057543,            0.099654,             0.10863,            0.052425,           0.0093709,           0.0093709,           0.0093709
                 105,             0.10142,             0.08997,            0.043588,             0.46859,             0.35238,             0.19447,            0.051699,            0.089055,            0.082289,            0.048502,           0.0093476,           0.0093476,           0.0093476
