               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11544,             0.12435,            0.052989,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.11567,              0.1245,            0.052821,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004505,           0.0004505,            0.095451
                   2,              0.1135,             0.11418,            0.052785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006416,           0.0006416,            0.092642
                   3,             0.11429,              0.1232,            0.052838,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007733,           0.0007733,            0.089773
                   4,             0.11386,             0.12184,            0.052746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008456,           0.0008456,            0.086846
                   5,             0.11477,             0.12582,            0.052844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008585,           0.0008585,            0.083859
                   6,             0.11465,             0.12284,            0.052884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000812,            0.000812,            0.080812
                   7,             0.11338,             0.11889,             0.05278,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007061,           0.0007061,            0.077706
                   8,             0.11457,             0.12609,            0.052786,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005408,           0.0005408,            0.074541
                   9,             0.11442,              0.1326,            0.052701,          0.00082069,             0.12092,          0.00073883,          0.00015424,             0.11055,            0.092047,             0.05253,           0.0003161,           0.0003161,            0.071316
                   0,             0.11397,             0.12438,             0.04354,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0001872,           0.0001872,            0.098187
                   1,             0.11382,             0.12438,            0.043355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00042167,          0.00042167,            0.095422
                   2,             0.11171,              0.1151,             0.04325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00060054,          0.00060054,            0.092601
                   3,             0.11244,             0.12416,            0.043345,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00072381,          0.00072381,            0.089724
                   4,             0.11201,             0.12318,            0.043209,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00079148,          0.00079148,            0.086791
                   5,               0.113,             0.12709,              0.0433,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00080356,          0.00080356,            0.083804
                   6,             0.11239,             0.12523,            0.043254,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076003,          0.00076003,             0.08076
                   7,             0.11154,             0.12001,            0.043305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00066091,          0.00066091,            0.077661
                   8,              0.1122,             0.12702,            0.043188,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00050619,          0.00050619,            0.074506
                   9,             0.11237,             0.13474,            0.043153,          0.00080128,             0.11765,          0.00070949,          0.00015158,             0.10923,            0.093951,            0.043081,          0.00029587,          0.00029587,            0.071296
                   0,             0.11336,             0.11369,            0.043597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0001872,           0.0001872,            0.095963
                   1,             0.11384,              0.1184,            0.043607,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00042167,          0.00042167,            0.093265
                   2,             0.11205,             0.10655,            0.043492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00060054,          0.00060054,            0.090512
                   3,             0.11255,             0.11228,            0.043444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00072381,          0.00072381,            0.087704
                   4,             0.11256,             0.11236,            0.043405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00079148,          0.00079148,            0.084839
                   5,             0.11165,             0.10689,            0.043461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00080356,          0.00080356,            0.081919
                   6,             0.11198,             0.11982,            0.043455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076003,          0.00076003,            0.078944
                   7,             0.11272,             0.12745,            0.043443,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00066091,          0.00066091,            0.075913
                   8,             0.11301,              0.1203,            0.043358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00050619,          0.00050619,            0.072826
                   9,             0.11139,             0.11001,            0.043344,          0.00081257,             0.11765,          0.00096415,          0.00019948,             0.10933,             0.08678,            0.043278,          0.00029587,          0.00029587,            0.069684
                   0,             0.13141,             0.12284,            0.046763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000203,            0.000203,             0.10867
                   1,             0.13151,             0.12389,            0.046577,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00045726,          0.00045726,              0.1056
                   2,              0.1288,             0.11504,            0.046462,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065122,          0.00065122,             0.10248
                   3,             0.12992,             0.12255,            0.046632,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007849,           0.0007849,             0.09929
                   4,             0.12879,             0.12247,            0.046395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00085828,          0.00085828,            0.096043
                   5,             0.13056,             0.12428,             0.04651,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087138,          0.00087138,            0.092736
