   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
          0.00079851,             0.11765,          0.00069104,          0.00014928,             0.12025,            0.083569,            0.043267,             0.00905,                0.01,             0.88842,             0.00057,              1.5356,             0.79184,             0.12036,             0.05422,             0.40364,              1.0254,              1.1165,             0.78471,                 0.2,              4.4578,                   0,             0.01274,             0.79847,             0.32449,                   0,             0.08509,             0.50536,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5172
          0.00089969,             0.11765,          0.00099054,          0.00020727,             0.10817,            0.087851,            0.046406,             0.01015,                0.01,             0.92929,             0.00048,              2.3828,             0.79184,             0.11383,             0.04844,             0.50008,             0.85373,             0.97349,             0.97407,                 0.2,              4.9033,                   0,             0.01508,                 0.9,             0.39249,                   0,             0.09554,             0.55951,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6295
          0.00080994,             0.11765,          0.00087002,          0.00018272,             0.10865,            0.078917,            0.043009,             0.00931,                0.01,             0.95356,              0.0005,              2.4971,             0.76109,             0.10752,             0.04976,             0.44634,             0.89668,              1.0238,             0.82184,                 0.2,              3.4885,                   0,             0.01265,             0.62381,             0.37355,                   0,             0.08809,             0.51378,                   0,                   0,                   0,                 0.5,             0.91801,                   0,                   0,              2.8126
                   0,                   0,                   0,                   0,             0.11858,            0.075423,            0.043652,             0.00977,             0.01056,             0.95814,             0.00056,               2.778,             0.84241,             0.09292,             0.05398,             0.46589,              0.8655,             0.85855,             0.94152,                 0.2,              3.6604,                   0,             0.01557,             0.68339,             0.35356,                   0,              0.1014,              0.4826,                   0,                   0,                   0,                 0.5,             0.91897,                   0,                   0,                   2
                   0,                   0,                   0,                   0,             0.11105,            0.089369,            0.045443,              0.0094,             0.01026,             0.95425,             0.00052,              2.7357,             0.77916,              0.0985,             0.05036,             0.49312,             0.84625,              1.0576,             0.90664,                 0.2,               3.777,                   0,             0.01478,             0.63358,               0.373,                   0,             0.09573,             0.47882,                   0,                   0,                   0,                 0.5,             0.94552,                   0,                   0,              2.6842
                   0,                   0,                   0,                   0,             0.11861,            0.090849,            0.046887,             0.00902,             0.01119,             0.93774,             0.00051,              2.7513,             0.68809,             0.07932,             0.05309,             0.46159,             0.95998,              1.0433,             0.93393,                 0.2,              4.5065,                   0,             0.01493,             0.56721,             0.45024,                   0,             0.10966,             0.51706,                   0,                   0,                   0,                 0.5,             0.91986,                   0,                   0,                   2
          0.00079851,             0.11765,           0.0006922,          0.00014872,             0.10935,             0.10194,            0.037911,             0.00808,                0.01,                0.98,             0.00052,              1.6621,             0.78374,             0.13024,             0.04976,             0.43665,             0.78277,              1.0615,              1.0541,                 0.2,              3.6604,                   0,             0.01563,             0.71761,             0.36015,                   0,             0.09573,              0.4826,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1528
          0.00079851,             0.11765,          0.00068484,          0.00014651,             0.11087,            0.088815,            0.042262,             0.00936,                0.01,             0.96744,             0.00054,              2.6532,             0.78374,             0.09726,             0.05046,             0.45691,             0.85039,              1.0902,             0.87117,                 0.2,              3.6604,                   0,             0.01575,             0.65042,             0.37987,                   0,             0.09526,             0.48321,                   0,                   0,                   0,                 0.5,             0.91754,                   0,                   0,              2.6075
          0.00079851,             0.11765,          0.00071262,          0.00015366,             0.11975,            0.083995,            0.044914,             0.01048,             0.01067,                0.98,             0.00044,              2.9186,             0.83475,             0.10811,             0.05529,             0.46806,             0.89217,              1.0433,             0.86277,                 0.2,              3.3276,                   0,              0.0138,             0.54732,             0.37355,                   0,             0.09469,              0.4826,                   0,                   0,                   0,                 0.5,             0.94671,                   0,                   0,              2.5726
          0.00079851,             0.11765,          0.00068157,          0.00014715,             0.11557,            0.086869,            0.039275,             0.00875,                0.01,             0.95566,              0.0005,              2.6109,             0.77685,             0.09485,             0.05261,             0.46159,             0.76196,              1.0433,             0.89295,                 0.2,              3.6604,                   0,              0.0147,             0.53949,             0.34853,                   0,             0.09561,             0.45132,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.524
