   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
                   0,                   0,                   0,                   0,             0.10109,             0.10969,            0.052033,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.10717,              0.1173,            0.057281,             0.00905,                 0.1,             0.93147,             0.00048,              2.9582,             0.82157,             0.10156,             0.05333,             0.51886,              1.0813,               1.026,              1.0382,                 0.2,                   4,                   0,               0.015,             0.68071,             0.39269,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,             0.93871,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.10709,             0.10176,            0.056422,             0.00905,             0.09641,              0.9169,             0.00051,              2.8031,             0.83258,             0.10269,             0.05333,             0.50977,              1.0856,             0.88844,              1.0382,                 0.2,              4.0443,                   0,             0.01532,             0.70389,             0.39541,                   0,              0.1006,                 0.5,                   0,                   0,                   0,                 0.5,               0.974,                   0,                   0,              3.1091
                   0,                   0,                   0,                   0,             0.10715,             0.10217,            0.058713,             0.00905,             0.09641,             0.94048,             0.00051,              2.3819,             0.81304,             0.08726,             0.05333,             0.50883,              1.1411,             0.96583,             0.94291,                 0.2,              4.0443,                   0,             0.01446,             0.70389,             0.37872,                   0,             0.10287,             0.42521,                   0,                   0,                   0,                 0.5,             0.93563,                   0,                   0,              3.0218
                   0,                   0,                   0,                   0,             0.10797,             0.10199,            0.059616,              0.0091,              0.0986,             0.95139,             0.00052,               2.457,             0.76934,               0.087,             0.05333,             0.51934,              1.1314,             0.96574,             0.95425,                 0.2,              3.9958,                   0,              0.0142,             0.70389,             0.38091,                   0,              0.1064,             0.42602,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              3.0218
                   0,                   0,                   0,                   0,             0.10855,             0.10101,            0.061277,             0.00907,             0.09689,             0.94671,             0.00053,               2.519,             0.80129,               0.087,             0.05391,             0.51934,              1.1733,             0.92952,             0.97694,                 0.2,              4.0521,                   0,              0.0147,             0.74013,             0.38505,                   0,             0.10441,             0.42038,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              2.7969
                   0,                   0,                   0,                   0,             0.12674,             0.10076,             0.06129,             0.00795,             0.10092,             0.97146,             0.00052,              2.5593,             0.71113,             0.08807,             0.06354,             0.53417,              1.1257,             0.96152,             0.95425,                 0.2,               3.266,                   0,              0.0142,             0.60152,             0.30694,                   0,             0.11193,             0.44676,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              3.8573
                   0,                   0,                   0,                   0,             0.11076,             0.11475,            0.055765,              0.0091,             0.09261,             0.92769,             0.00054,              2.3391,             0.77568,             0.08911,             0.05537,              0.4859,              1.1314,                1.03,              1.0163,                 0.2,              3.6487,                   0,             0.01531,             0.70554,             0.39859,                   0,              0.1064,             0.39008,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              2.7197
                   0,                   0,                   0,                   0,             0.10693,            0.096219,             0.05985,              0.0091,              0.0994,             0.96087,             0.00061,              2.3071,             0.70798,             0.09848,             0.05333,             0.47625,              1.2664,             0.92409,             0.97021,                 0.2,              3.4505,                   0,             0.01422,             0.73648,             0.33262,                   0,             0.10603,             0.46589,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6779
                   0,                   0,                   0,                   0,              0.1007,             0.08227,            0.066219,              0.0091,              0.0986,             0.95139,             0.00052,              1.8527,             0.80399,               0.087,             0.05123,             0.57941,              1.1314,             0.99593,             0.72648,                 0.2,              3.2887,                   0,             0.01441,             0.70302,             0.46884,                   0,              0.1064,             0.42602,                   0,                   0,                   0,                 0.5,             0.62346,                   0,                   0,              2.6552
