               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,             0.11709,             0.12944,            0.057085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           8.101e-05,           8.101e-05,             0.10164
                   4,             0.11648,             0.13109,             0.05705,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.7146e-05,          8.7146e-05,             0.10134
                   4,             0.11648,             0.13109,             0.05705,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.7146e-05,          8.7146e-05,             0.10134
                   4,             0.11648,             0.13109,             0.05705,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.7146e-05,          8.7146e-05,             0.10134
                   5,             0.11496,             0.12011,            0.057007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.4341e-05,          8.4341e-05,             0.10103
                   5,             0.11496,             0.12011,            0.057007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.4341e-05,          8.4341e-05,             0.10103
                   5,             0.11496,             0.12011,            0.057007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.4341e-05,          8.4341e-05,             0.10103
                   6,             0.11623,             0.13045,            0.056876,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.3955e-05,          7.3955e-05,             0.10071
                   6,             0.11623,             0.13045,            0.056876,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.3955e-05,          7.3955e-05,             0.10071
                   6,             0.11623,             0.13045,            0.056876,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.3955e-05,          7.3955e-05,             0.10071
                   7,             0.11523,             0.13007,            0.056801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          5.8833e-05,          5.8833e-05,             0.10039
                   7,             0.11523,             0.13007,            0.056801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          5.8833e-05,          5.8833e-05,             0.10039
                   7,             0.11523,             0.13007,            0.056801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          5.8833e-05,          5.8833e-05,             0.10039
                   8,              0.1145,             0.12853,            0.056603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.2988e-05,          4.2988e-05,             0.10006
                   8,              0.1145,             0.12853,            0.056603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.2988e-05,          4.2988e-05,             0.10006
                   8,              0.1145,             0.12853,            0.056603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.2988e-05,          4.2988e-05,             0.10006
                   9,             0.11682,             0.12505,            0.056641,                   0,                   0,                   0,                   0,             0.10709,             0.10176,            0.056422,          3.1106e-05,          3.1106e-05,            0.099743
                   9,             0.11682,             0.12505,            0.056641,                   0,                   0,                   0,                   0,             0.10709,             0.10176,            0.056422,          3.1106e-05,          3.1106e-05,            0.099743
                   9,             0.11682,             0.12505,            0.056641,                   0,                   0,                   0,                   0,             0.10709,             0.10176,            0.056422,          3.1106e-05,          3.1106e-05,            0.099743
                   0,              0.1204,             0.11196,            0.059573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,            0.087104
                   0,              0.1204,             0.11196,            0.059573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,            0.087104
                   0,              0.1204,             0.11196,            0.059573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,            0.087104
                   0,              0.1204,             0.11196,            0.059573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,            0.087104
                   1,             0.12004,             0.11647,            0.059581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4249e-05,          4.4249e-05,            0.086868
