               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11679,             0.10875,            0.063854,                   0,                   0,                   0,                   0,             0.11332,              0.0843,            0.063682,           1.836e-05,           1.836e-05,            0.092403
                   1,             0.11631,             0.11284,            0.063841,                   0,                   0,                   0,                   0,             0.11162,            0.087266,            0.063601,            4.59e-05,            4.59e-05,            0.092153
                   2,             0.11518,             0.11925,            0.063741,                   0,                   0,                   0,                   0,             0.10997,            0.090096,            0.063511,          7.3437e-05,          7.3437e-05,            0.091903
                   3,             0.11349,             0.11294,            0.063587,                   0,                   0,                   0,                   0,             0.10844,            0.092684,            0.063412,          0.00010097,          0.00010097,            0.091653
                   4,             0.11044,             0.11289,            0.063553,                   0,                   0,                   0,                   0,             0.10709,            0.094908,            0.063309,           0.0001285,           0.0001285,            0.091403
                   5,             0.11118,             0.11428,            0.063432,                   0,                   0,                   0,                   0,             0.10599,            0.096721,            0.063208,          0.00015603,          0.00015603,            0.091152
                   6,             0.10921,             0.11671,            0.063233,                   0,                   0,                   0,                   0,             0.10519,            0.097955,            0.063109,          0.00018354,          0.00018354,            0.090902
                   7,              0.1107,             0.13388,            0.063176,                   0,                   0,                   0,                   0,             0.10464,            0.098772,             0.06301,          0.00021105,          0.00021105,            0.090652
                   8,              0.1075,             0.11459,            0.062928,                   0,                   0,                   0,                   0,             0.10414,            0.099494,            0.062912,          0.00023854,          0.00023854,            0.090402
                   9,             0.10925,             0.11906,            0.062868,                   0,                   0,                   0,                   0,             0.10379,                 0.1,            0.062814,          0.00026603,          0.00026603,            0.090151
                  10,             0.10832,             0.11159,            0.062693,                   0,                   0,                   0,                   0,             0.10353,             0.10036,            0.062719,           0.0002935,           0.0002935,            0.089901
                  11,             0.11013,             0.11622,            0.062812,                   0,                   0,                   0,                   0,             0.10338,             0.10058,            0.062626,          0.00032095,          0.00032095,            0.089651
                  12,             0.10815,             0.10701,            0.062723,                   0,                   0,                   0,                   0,             0.10321,             0.10082,            0.062536,          0.00034839,          0.00034839,            0.089401
                  13,             0.10917,             0.12009,            0.062486,                   0,                   0,                   0,                   0,             0.10308,             0.10096,            0.062448,          0.00037581,          0.00037581,             0.08915
                  14,             0.10912,             0.11864,            0.062173,                   0,                   0,                   0,                   0,             0.10302,             0.10106,            0.062359,          0.00040322,          0.00040322,              0.0889
                  15,             0.10637,             0.11584,            0.062136,                   0,                   0,                   0,                   0,             0.10292,             0.10122,            0.062273,           0.0004306,           0.0004306,             0.08865
                  16,             0.10614,             0.11356,            0.062064,                   0,                   0,                   0,                   0,             0.10282,             0.10135,            0.062185,          0.00045795,          0.00045795,            0.088399
                  17,             0.10952,             0.12694,            0.061895,                   0,                   0,                   0,                   0,             0.10278,             0.10143,              0.0621,          0.00048529,          0.00048529,            0.088149
                  18,             0.10823,             0.11496,            0.061806,                   0,                   0,                   0,                   0,             0.10276,             0.10152,            0.062014,           0.0005126,           0.0005126,            0.087899
                  19,             0.10819,             0.11321,            0.061803,                   0,                   0,                   0,                   0,             0.10274,             0.10154,            0.061931,          0.00053988,          0.00053988,            0.087648
                  20,             0.10711,             0.11774,            0.061586,                   0,                   0,                   0,                   0,             0.10269,             0.10164,            0.061847,          0.00056713,          0.00056713,            0.087398
                  21,              0.1079,             0.11443,            0.061454,          0.00022163,           0.0031447,          0.00011616,          4.6464e-05,             0.10264,             0.10173,            0.061764,          0.00059436,          0.00059436,            0.087147
                  22,               0.108,             0.12692,            0.061411,                   0,                   0,                   0,                   0,             0.10263,             0.10186,            0.061684,          0.00062155,          0.00062155,            0.086897
                  23,              0.1073,             0.11171,            0.061352,          0.00066774,             0.01634,          0.00036924,          7.2144e-05,             0.10256,             0.10196,            0.061603,          0.00064871,          0.00064871,            0.086646
                  24,             0.10868,              0.1137,            0.061202,           0.0013717,            0.052288,          0.00091526,          0.00016075,             0.10254,             0.10206,            0.061524,          0.00067584,          0.00067584,            0.086396
